gade,postnr,beholder,antal
Søndergade  15,6000,"190 l. beholder, mad",1
Søndergade  15,6000,"400 l. con, restaffald",1
Søndergade  21,6000,"2-delt 240 l. beh, r/m-sætte f",1
Søndergade  27,6000,"190 l. beh, mad, med lås",1
Søndergade  27,6000,"2-delt 370 l. beh, rest/mad",1
Søndergade  27,6000,"660 l. con, rest, med lås",1
Søndergade  29,6000,"240 l. beh, mad, med lås, SF",1
Søndergade  29,6000,"660 con, rest - m lås sætte f",1
Søndergade  32,6000,"140 l. beholder, mad",1
Søndergade  32,6000,"660 l. con, restaffald",2
Østergade  3,6000,"130 l. sæk, restaffald erhverv",1
Østergade  7,6000,"2-delt 240 l. beh, rest/mad",1
Østergade  11,6000,"2-delt 240 l. beh, rest/mad",1
Østergade  13,6000,"2-delt 370 l. beh, rest/mad",1
Østergade  17,6000,"130 l. sæk, resta - sætte frem",2
Østergade  17,6000,"90 l. sæk, mad - sætte frem",2
