gade,postnr,beholder,antal
Vejrupsgade  30,6000,"2-delt 370 beh, rest/mad, lås",1
Vonsildvej  75,6000,"2-delt 240 l. beh, rest/mad",1
Vonsildvej  75,6000,"2-delt 370 l. beh, r/m-sætte f",1
Vonsildvej  77,6000,"2-delt 240 l. beh, rest/mad",1
Æblehaven  18,6000,"2-delt 240 l. beh, rest/mad",1
Ægirsvej  2,6000,"2-delt 240 l. beh, rest/mad",1
Ægirsvej  3,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ægirsvej  4,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ægirsvej  5,6000,"2-delt 240 l. beh, rest/mad",1
Ægirsvej  6,6000,"2-delt 240 l. beh, rest/mad",1
Ægirsvej  8,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ægirsvej  8,6000,"2-delt 240 l. beh, rest/mad",1
Ægirsvej  12,6000,"2-delt 240 l. beh, rest/mad",1
