,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
35,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
36,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,22,False,True,True
37,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
38,"Idyl 21, 6000, Kolding, Danmark",55.4771507,9.5109088,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False
39,"Idyl 23, 6000, Kolding, Danmark",55.4771271,9.5110417,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,23,False,True,False
40,"Idyl 25, 6000, Kolding, Danmark",55.47647019999999,9.5140224,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,25,False,True,False
41,"Idyl 27, 6000, Kolding, Danmark",55.4769751,9.5153851,Idyl ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,370,False,27,False,True,False
42,"Idyl 29, 6000, Kolding, Danmark",55.4751293,9.5148313,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,29,False,True,False
43,"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,660,False,1,False,True,False
44,"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"400 l .con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,400,False,1,False,True,False
45,"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"240 l. beholder, mad, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,240,False,1,False,True,False
