,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
35,"Helligkorsgade 12, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,370,False,12,False,True,True
36,"Helligkorsgade 14, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,14,False,True,True
37,"Helligkorsgade 14, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,14,False,True,True
38,"Helligkorsgade 15, 6000, Kolding, Danmark",55.4891672,9.4744887,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False
39,"Helligkorsgade 15, 6000, Kolding, Danmark",55.4891672,9.4744887,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,15,False,True,False
40,"Helligkorsgade 16, 6000, Kolding, Danmark",55.4890299,9.474682,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,400,False,16,False,True,False
41,"Helligkorsgade 16, 6000, Kolding, Danmark",55.4890299,9.474682,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,770,False,16,False,True,False
42,"Helligkorsgade 17, 6000, Kolding, Danmark",55.4891531,9.47481,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,17,False,True,True
43,"Helligkorsgade 20 B, 6000, Kolding, Danmark",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
44,"Helligkorsgade 20 B, 6000, Kolding, Danmark",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True
